Story ID,Story Name,Description,Priority,Iteration (Sprint) number,Acceptance Criteria,Estimation,Notes,Date started (or planned),Date finished (or planned)
US-01,Create applicant profile,"As a TA applicant
I want to create my applicant profile
So that I can provide my personal  information and experience for TA recruitment.",Must,1,"1. User can register with name, email and student ID
2. User can imput skills and academic background
3. Profile information is stroed successfully in the system",3,,2026/3/22,2026/4/4
US-02,Edit TA Profile,"As a TA applicant
I want to edit my profile information
So that I can keep my information up to date. ",Should,2,"1. User can modify personal information
2. Updated information can be saved 
3. Changes are reflected when profile is viewed again",2,,2026/4/5,2026/4/12
US-03,View Profile,"As a TA applicant
I want to view my profile
so that I can check that my information is correct.",Should,2,"1. TA sees all profile fields
2. Information matches saved data
3. MO can also view profile",2,,2026/4/5,2026/4/12
US-04,Delete Profile,"As a TA applicant
I want to delete my profile
So that I can remove my data from the system if needed.",Could,3,"1. User can delete profile
2. System asks for confirmation
3. Deleted profile no longer visible to MO",1,,2026/4/13,2026/4/26
US-05,Upload CV,"As a TA applicant
I want to upload my CV
So that Module Organisers can review my qualifications when selecting applicants.",Must,1,"1. User can upload a CV file
2. System stores the CV file path or file name
3. Uploaded CV can be viewed later",3,,2026/3/22,2026/4/4
US-06,Replace CV,"As a TA applicant
I want to replace my CV
So that I can provide the most up-to-date version of my qualifications and experience.",Should,2,"1. User can upload a new CV file to replace the existing one.
2. The system removes or archives the previous CV.
3. The system stores the new CV successfully.
4. Uploaded CV can be viewed later",2,,2026/4/5,2026/4/12
US-07,View CV,"As a TA applicant
I want to view my uploaded CV
So that I can check that the correct CV has been uploaded.",Should,2,"1. TA can see a list of uploaded CVs
2. TA can open a CV file
3. MO can also view CV
4. Error message appears if loading fails",2,,2026/4/5,2026/4/12
US-08,Delete CV,"As a TA applicant
I want to delete my CV
So that I can remove outdated or incorrect files.",Could,3,"1. User can delete a CV file
2. System asks for confirmation
3. Deleted CV no longer visible to MO",1,,2026/4/13,2026/4/26
US-09,Validate Profile Information,"As a system
I want to validate profile inputs
so that incomplete or incorrect information is avoided",Should,2,"1. Required fields cannot be empty
2. Email format must be valid
3. Error messages are displayed when validation fails",2,,2026/4/5,2026/4/12
US-10,Browse available jobs,"As a TA applicant
I want to browse available TA jobs
So that I can find suitable opportunities.",Must,1,"1. Job list is displayed
2. Each job shows module name and requirements
3. Users can view job details",2,,2026/3/22,2026/4/4
US-11,Search and filter jobs,"As a TA applicant I want to search and filter available TA jobs So that I can quickly find jobs that match my skills, module preference, or schedule.",Must,2,"1. User can enter keywords to search jobs 2. User can filter by module, type of activity, or required skills 3. Filtered/search results are displayed instantly",4,"1. On text/CSV/JSON data files only, no database required. 2. Display results instantly; show 'No matching jobs found' if no matches. 3.Supports multi-condition filtering: module, activity type, and skills. 4.Can integrate with AI skill matching later, but not required for this iteration.",2026/4/5,2026/4/12
US-12,View job details,"As a TA applicant
I want to view detailed information about a job
So that I can understand the requirements before applying.",Must,1,"1. User can click a job from the job list
2. System displays job details including module name, description, and requirements
3. User can return to the job list page",2,"Job details include module name, description, activity type, and required skills.",2026/3/22,2026/4/4
US-13,Sort job listings,"As a TA applicant
I want to sort job listings
So that I can quickly find the most relevant opportunities.",Should,2,"1. User can sort jobs by module name
2. User can sort jobs by posting date
3. Job list updates after sorting",3,Sorting is implemented based on job data stored in text/CSV/JSON files.,2026/4/5,2026/4/12
